name,ra,dec,priority,type
z7_GND_38200,189.359146,62.192123,4,TARGET
z7_GND_18323,189.371399,62.252140,4,TARGET
z8_GND_22233,189.249802,62.241226,4,TARGET
z5_GND_20169,189.204132,62.247089,4,TARGET
z7_GND_18869,189.205292,62.250767,4,TARGET
z7_GND_15396,189.275909,62.260303,4,TARGET
z7_GND_13456,189.264938,62.265789,4,TARGET
z7_GND_11402,189.186172,62.270863,4,TARGET
z7_GND_10402,189.179276,62.275894,4,TARGET
z7_GND_8012,189.260422,62.289406,4,TARGET
z7_GND_7831,189.177307,62.291050,4,TARGET
z7_GND_44109,189.177155,62.291512,4,TARGET
z7_GND_6161,189.215073,62.317932,4,TARGET
z7_GND_41546,189.159698,62.310566,4,TARGET
z8_GND_23069,189.109497,62.238792,4,TARGET
z7_GND_18181,189.082687,62.252476,4,TARGET
z7_GND_10780,189.138077,62.274445,4,TARGET
z7_GND_45190,189.138504,62.275600,4,TARGET
z7_GND_42108,189.134430,62.307869,4,TARGET
z8_GNW_27475,189.373810,62.336391,4,TARGET
z8_GNW_30497,189.353027,62.347015,4,TARGET
z8_GNW_5376,189.191101,62.139683,4,TARGET
z8_GNW_21001,189.286987,62.318020,4,TARGET
z8_GNW_13554,189.039001,62.189419,4,TARGET
z7_GNW_15559,189.083511,62.202583,4,TARGET
z8_GND_41247,189.279510,62.179752,4,TARGET
z8_GND_35384,189.231995,62.202343,4,TARGET
z8_GND_21784,189.203125,62.242485,4,TARGET
z7_GND_13456,189.264938,62.265789,4,TARGET
z8_GND_8052,189.270020,62.288559,4,TARGET
z7_GND_8012,189.260422,62.289406,4,TARGET
z7_GND_20984,189.133713,62.244598,4,TARGET
3DHST_Q_1301,189.208342,62.130576,5,TARGET
3DHST_Q_9056,189.056217,62.188475,5,TARGET
3DHST_Q_11004,189.359313,62.196221,5,TARGET
3DHST_Q_12173,189.022674,62.201896,5,TARGET
3DHST_Q_13718,189.229293,62.209512,5,TARGET
3DHST_Q_24238,189.526264,62.260638,5,TARGET
3DHST_Q_28451,189.247715,62.282931,5,TARGET
3DHST_Q_32507,189.418069,62.305949,5,TARGET
