slit,targetnum,name,ra,dec,pmra,pmdec,mag,priority,epoch,type,wave_start,wave_end,side
68,145,z5_GND_24948,189.320312,62.233444,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7444.774876916068,9967.4868237997,B
18,42,z6_GND_28043,189.418427,62.224796,0,0,0.0010000000474974513,3,2000,TARGET,7112.86074188173,9635.720439187453,B
729,1701,3DHST_19119,189.343704,62.236446,0,0,0.0010000000474974513,1385,2000,TARGET,7375.325256680563,9898.068183493364,B
234,522,3DHST_20602,189.310425,62.243381,0,0,0.0010000000474974513,149,2000,TARGET,7495.414182525104,10018.103713966884,B
318,719,3DHST_21644,189.288055,62.248775,0,0,0.0010000000474974513,359,2000,TARGET,7577.495901203298,10100.148955917388,B
34,76,z7_GND_22525,189.372818,62.240372,0,0,0.0010000000474974513,3,2000,TARGET,7289.369476495051,9812.15080520918,B
19,43,z6_GND_20879,189.369308,62.244785,0,0,0.0010000000474974513,3,2000,TARGET,7309.170666695001,9831.943286543605,B
123,270,z7_GND_15396,189.275909,62.260303,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7638.608645518964,10161.234771066036,B
7,19,z6_GND_16819,189.328232,62.256317,0,0,0.0010000000474974513,3,2000,TARGET,7463.273705170665,9985.977945967952,B
105,191,z5_GND_12659,189.26062,62.268284,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7703.04816861678,10225.645831903774,B
76,153,z5_GND_14131,189.315414,62.263824,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7518.990999216684,10041.670669479716,B
192,419,3DHST_25202,189.323425,62.265228,0,0,0.0010000000474974513,40,2000,TARGET,7496.11109778082,10018.80105315443,B
36,82,z6_GND_11304,189.282639,62.272503,0,0,0.0010000000474974513,3,2000,TARGET,7640.884449414929,10163.510073922935,B
37,84,z6_GND_10245,189.277405,62.276409,0,0,0.0010000000474974513,3,2000,TARGET,7665.316084381878,10187.930992379574,B
106,196,z5_GND_10047,189.29628,62.277386,0,0,0.0010000000474974513,3.9998779296875,2000,TARGET,7606.935667690928,10129.576729403918,B
643,1496,3DHST_27923,189.299713,62.279137,0,0,0.0010000000474974513,1175,2000,TARGET,7599.449077205962,10122.093589952105,B
190,417,3DHST_27358,189.340973,62.276245,0,0,0.0010000000474974513,38,2000,TARGET,7461.860075811195,9984.56595082545,B
3,8,Stark11_34_24923,189.284531,62.287498,0,0,0.0010000000474974513,1,2000,TARGET,7664.6271691777265,10187.243058984886,B
26,53,z6_GND_8220,189.284531,62.287498,0,0,0.0010000000474974513,3,2000,TARGET,7664.6271691777265,10187.243058984886,B
261,604,3DHST_30218,189.270996,62.291668,0,0,0.0010000000474974513,237.9998779296875,2000,TARGET,7716.182071577563,10238.77517674165,B
